aliquot_uuid	aliquot_barcode
fed19371-74a4-414f-84a7-495d1ad86c6d	TCGA-56-8625-01A-11R-2403-07
bbbac47c-0764-4bdb-857d-bd218e9d76ca	TCGA-56-8503-01A-11R-2403-07
e049e194-d224-41cf-99b6-a4e7490674f9	TCGA-22-1005-01A-01R-0692-07
e6889ad6-caa9-429f-9123-0ff0c7ae195a	TCGA-85-8277-01A-11R-2296-07
f69543ea-f20b-4182-91c4-f5bad36be325	TCGA-85-8287-01A-11R-2296-07
e75b6682-1dc8-4f83-a4e2-ff511a1f656b	TCGA-85-8352-01A-31R-2326-07
bc95bdc7-553c-4b87-b546-899d8bd3fc41	TCGA-58-8393-01A-11R-2326-07
f5b03cae-1e62-46aa-9c0b-a2fb62948aed	TCGA-58-A46M-01A-11R-A24H-07
8ad4df1d-ed6e-4b76-981c-c8757499c801	TCGA-85-8354-01A-31R-2326-07
2bdb8f96-2194-4541-bf8b-2798fb197a7c	TCGA-68-8250-01A-11R-2296-07
786e4975-18e4-473c-97bf-2f5a57f4cd1d	TCGA-RW-A68B-01A-11R-A35K-07
63068ba8-f2cb-4e3d-a34b-ec219ab6b574	TCGA-98-A539-01A-31R-A262-07
f6b2f5b6-b012-46ec-9ed9-9a37c22cac5d	TCGA-98-A538-01A-11R-A262-07
4daf4ef1-7b4e-4580-ba4c-1f8e81d8b250	TCGA-63-A5MW-01A-11R-A26W-07
fe0ee6d5-c68d-40ab-8892-678df4554aa6	TCGA-63-A5MU-01A-11R-A26W-07
165b9f2f-04c6-44d0-a4ac-069ad04e4e42	TCGA-43-A56V-01A-11R-A26W-07
42700ab7-f1fe-41de-97b0-3fba56091b82	TCGA-MF-A522-01A-11R-A262-07
fdb289b5-14ba-4291-b997-b3b59f709052	TCGA-85-A4PA-01A-11R-A24Z-07
ba2a4e28-8085-4721-a72c-2f26b49b6776	TCGA-68-A59J-01A-21R-A26W-07
eb7105cb-db03-4c01-b806-b9f613564a22	TCGA-NC-A5HH-01A-11R-A26W-07
d0bc7698-a2fe-44ca-8d33-8ccc4d5eacd9	TCGA-77-A5GF-01A-21R-A27Q-07
269e47df-94de-4d27-86be-3a404cdaaf08	TCGA-RT-A6Y9-01A-12R-A35K-07
6c120b12-014b-4722-9b9d-b37de6d3d8c0	TCGA-63-A5MN-01A-22R-A27Q-07
ac4077ca-1cc5-4df5-b621-94e2cb8ecd0f	TCGA-43-2576-01A-01R-A32Z-07
